date;serial_number;failure;smart_5_normalized;smart_5_raw;smart_187_normalized;smart_187_raw;smart_188_normalized;smart_188_raw;smart_197_normalized;smart_197_raw;smart_198_normalized;smart_198_raw
01.04.2020;ZCH08034;0;98;8512;100;0;100;0;100;0;100;0
02.04.2020;ZCH08034;0;98;9536;100;0;100;0;100;0;100;0
03.04.2020;ZCH08034;0;98;9792;100;0;100;0;100;0;100;0
04.04.2020;ZCH08034;0;98;9936;100;0;100;0;100;0;100;0
05.04.2020;ZCH08034;0;98;10120;100;0;100;0;100;0;100;0
06.04.2020;ZCH08034;0;98;11384;100;0;100;0;100;0;100;0
07.04.2020;ZCH08034;0;97;11816;100;0;100;0;100;0;100;0
08.04.2020;ZCH08034;0;97;11904;100;0;100;0;100;0;100;0
09.04.2020;ZCH08034;0;97;12056;100;0;100;0;100;0;100;0
10.04.2020;ZCH08034;0;97;12072;100;0;100;0;100;0;100;0
11.04.2020;ZCH08034;0;97;12736;100;0;100;0;100;0;100;0
12.04.2020;ZCH08034;0;97;13296;100;0;100;0;100;0;100;0
13.04.2020;ZCH08034;0;97;14384;100;0;100;0;100;0;100;0
14.04.2020;ZCH08034;0;97;15632;100;0;100;0;100;0;100;0
15.04.2020;ZCH08034;0;95;20184;99;1;100;0;100;0;100;0
16.04.2020;ZCH08034;0;94;23960;99;1;100;0;100;0;100;0
17.04.2020;ZCH08034;0;93;30416;99;1;100;0;100;0;100;0
18.04.2020;ZCH08034;0;92;31640;99;1;100;0;100;0;100;0
19.04.2020;ZCH08034;0;92;33664;99;1;100;0;100;0;100;0
20.04.2020;ZCH08034;0;92;34496;99;1;100;0;100;0;100;0
21.04.2020;ZCH08034;0;92;35320;99;1;100;0;100;0;100;0
22.04.2020;ZCH08034;0;91;36072;99;1;100;0;100;8;100;8
23.04.2020;ZCH08034;0;91;36976;99;1;100;0;100;8;100;8
24.04.2020;ZCH08034;0;91;37848;99;1;100;0;100;8;100;8
25.04.2020;ZCH08034;0;91;38152;99;1;100;0;100;8;100;8
26.04.2020;ZCH08034;0;91;38880;99;1;100;0;100;8;100;8
27.04.2020;ZCH08034;0;89;44144;68;32;100;0;100;48;100;48
28.04.2020;ZCH08034;0;89;45416;68;32;100;0;100;48;100;48
29.04.2020;ZCH08034;0;89;45736;68;32;100;0;100;48;100;48
30.04.2020;ZCH08034;0;89;46312;68;32;100;0;100;40;100;40
01.05.2020;ZCH08034;0;89;46720;68;32;100;0;100;40;100;40
02.05.2020;ZCH08034;0;88;47200;68;32;100;0;100;40;100;40
03.05.2020;ZCH08034;0;88;47512;68;32;100;0;100;40;100;40
04.05.2020;ZCH08034;0;88;47768;68;32;100;0;100;40;100;40
05.05.2020;ZCH08034;0;88;48328;68;32;100;0;100;40;100;40
06.05.2020;ZCH08034;0;88;49760;68;32;100;0;100;40;100;40
07.05.2020;ZCH08034;0;88;50256;68;32;100;0;100;40;100;40
08.05.2020;ZCH08034;0;88;50904;68;32;100;0;100;40;100;40
09.05.2020;ZCH08034;0;87;52864;68;32;100;0;100;40;100;40
10.05.2020;ZCH08034;0;87;53752;68;32;100;0;100;40;100;40
11.05.2020;ZCH08034;0;86;56984;68;32;100;0;100;40;100;40
12.05.2020;ZCH08034;0;85;62200;68;32;100;0;100;40;100;40
13.05.2020;ZCH08034;0;84;63296;68;32;100;0;100;40;100;40
14.05.2020;ZCH08034;0;84;63408;68;32;100;0;100;40;100;40
15.05.2020;ZCH08034;0;84;64048;68;32;100;0;100;40;100;40
16.05.2020;ZCH08034;0;84;64232;68;32;100;0;100;40;100;40
17.05.2020;ZCH08034;0;84;64480;68;32;100;0;100;40;100;40
18.05.2020;ZCH08034;0;84;64664;68;32;100;0;100;40;100;40
19.05.2020;ZCH08034;0;82;7216;67;33;100;0;100;40;100;40
20.05.2020;ZCH08034;0;81;10848;66;34;100;0;100;40;100;40
21.05.2020;ZCH08034;0;79;20112;60;40;100;0;100;40;100;40
22.05.2020;ZCH08034;0;78;22552;60;40;100;0;100;40;100;40
23.05.2020;ZCH08034;0;77;26184;60;40;100;0;100;40;100;40
24.05.2020;ZCH08034;0;75;34664;58;42;100;0;100;40;100;40
25.05.2020;ZCH08034;0;70;52560;47;53;100;0;100;40;100;40
26.05.2020;ZCH08034;0;62;18752;20;80;100;0;100;40;100;40
27.05.2020;ZCH08034;0;43;28016;1;139;100;0;100;40;100;40
28.05.2020;ZCH08034;0;41;37736;1;145;100;0;100;40;100;40
29.05.2020;ZCH08034;1;34;65232;1;153;100;0;100;40;100;40
